supplier_name,bill_no,bill_date,product_code,product_name,batch_no,expiry_date,quantity,free_qty,rate,mrp,tax_percent,discount_percent,hsncode,packing,items_per_pack
MEDISYN SPECIALITY CLINIC,IL-26-1938,11-Apr-26,5264,ETOSHINE MR,SIG2260A,10/27,7.0,0.0,234.29,307.5,0.0,3.0,30049069,10`S,1.0
MEDISYN SPECIALITY CLINIC,IL-26-1938,11-Apr-26,7831,PROHANCE HP VANILA 400GM,ZRD0009,06/27,1.0,0.0,892.58,1065.0,0.0,3.0,21069099,400 GMS,1.0
MEDISYN SPECIALITY CLINIC PHARMACY,1962,16/04/2026,50630,ZERODOL P TAB,KVB0125113AS,07/2027,10.0,0.0,57.86,75.94,5.0,2.0,30049069,10's,10.0
MEDISYN SPECIALITY CLINIC PHARMACY,1962,16/04/2026,50745,ZERODOL SP TAB,FND0725097BH,04/2028,10.0,0.0,106.42,139.69,5.0,2.0,30049069,10's,10.0
MEDISYN SPECIALITY CLINIC PHARMACY,1962,16/04/2026,50132,ZERODOL TH 4 TAB,FXT0125013AS,10/2028,5.0,0.0,191.43,251.25,5.0,2.0,30049069,10's,10.0
MEDISYN SPECIALITY CLINIC,206,02/04/2026,000650,STILOZ 100MG TAB,SZ2TI512,11/2027,10.0,0.0,542.85,712.5,5.0,2.0,30049079,15's,15.0
MEDISYN SPECIALITY CLINIC,206,02/04/2026,000653,TELMA 40MG TAB,05250721A,04/2028,10.0,0.0,165.12,216.72,5.0,2.0,30049079,30's,30.0
MEDISYN SPECIALITY CLINIC,206,02/04/2026,7887,MONTEK LC KID TAB,GTG1910A..,05/2027,10.0,0.0,109.65,143.91,5.0,2.0,30049039,10's,10.0
MEDISYN SPECIALITY CLINIC,206,02/04/2026,7886,MONTEK LC TAB (15'S),GTG3331A,04/2028,10.0,0.0,280.72,368.44,5.0,2.0,30049094,15's,15.0
